filename,duration,distance,average heart rate,average pace,starting time,rTSS,date
activity_12311139463.tcx,1572.0,6.6 km,147 bpm,0:03:58 mins/km,2023-10-14 11:00:42+01:00,43,2023-10-14
activity_10383598691.tcx,4293.0,13.28 km,153 bpm,0:05:23 mins/km,2023-01-26 09:18:55+00:00,65,2023-01-26
activity_10742689384.tcx,5158.0,16.23 km,147 bpm,0:05:18 mins/km,2023-03-21 18:08:59+00:00,89,2023-03-21
activity_11469496839.tcx,5348.0,17.5 km,147 bpm,0:05:06 mins/km,2023-07-02 09:13:44+01:00,90,2023-07-02
activity_9875749336.tcx,1262.0,3.85 km,160 bpm,0:05:28 mins/km,2022-10-29 08:31:56+08:00,18,2022-10-29
activity_9175972209.tcx,4668.0,15.77 km,158 bpm,0:04:56 mins/km,2022-07-10 10:45:54+01:00,84,2022-07-10
activity_11910110983.tcx,2681.0,8.85 km,155 bpm,0:05:03 mins/km,2023-08-30 18:51:51+01:00,46,2023-08-30
activity_12367688291.tcx,2046.0,6.61 km,152 bpm,0:05:10 mins/km,2023-10-18 12:13:26+01:00,33,2023-10-18
activity_9463486814.tcx,1142.0,3.58 km,143 bpm,0:05:19 mins/km,2022-08-23 18:12:20+01:00,18,2022-08-23
activity_10875368184.tcx,3573.0,12.56 km,156 bpm,0:04:44 mins/km,2023-04-10 14:44:30+01:00,70,2023-04-10
activity_11600923086.tcx,4566.0,14.72 km,152 bpm,0:05:10 mins/km,2023-07-20 06:53:49+01:00,74,2023-07-20
activity_8882808611.tcx,902.0,3.06 km,145 bpm,0:04:54 mins/km,2022-05-24 10:17:40+01:00,16,2022-05-24
activity_12030922288.tcx,1066.0,4.97 km,152 bpm,0:03:34 mins/km,2023-09-15 19:06:35+01:00,36,2023-09-15
activity_12130540362.tcx,4795.0,16.18 km,155 bpm,0:04:56 mins/km,2023-09-29 07:06:56+01:00,86,2023-09-29
activity_10511779304.tcx,4116.0,13.66 km,154 bpm,0:05:01 mins/km,2023-02-14 18:05:38+00:00,75,2023-02-14
activity_11850618990.tcx,4361.0,14.48 km,147 bpm,0:05:01 mins/km,2023-08-22 18:08:52+01:00,85,2023-08-22
activity_9605417502.tcx,2024.0,6.37 km,150 bpm,0:05:17 mins/km,2022-09-14 15:52:51+01:00,32,2022-09-14
activity_9479723611.tcx,3355.0,10.75 km,155 bpm,0:05:12 mins/km,2022-08-26 08:32:33+01:00,54,2022-08-26
activity_9577394598.tcx,1119.0,3.48 km,144 bpm,0:05:21 mins/km,2022-09-10 11:03:09+01:00,17,2022-09-10
activity_12311135476.tcx,1628.0,5.16 km,153 bpm,0:05:16 mins/km,2023-10-14 10:05:32+01:00,26,2023-10-14
activity_12164487330.tcx,4180.0,13.19 km,147 bpm,0:05:17 mins/km,2023-10-03 18:11:50+01:00,73,2023-10-03
activity_12685663078.tcx,1717.0,5.3 km,143 bpm,0:05:24 mins/km,2023-11-11 10:07:16+00:00,26,2023-11-11
activity_13100629615.tcx,2286.0,7.13 km,141 bpm,0:05:21 mins/km,2023-12-14 17:31:13+00:00,35,2023-12-14
activity_13106193248.tcx,3431.0,11.55 km,160 bpm,0:04:57 mins/km,2023-12-15 06:54:39+00:00,61,2023-12-15
activity_9840005398.tcx,5400.0,16.72 km,156 bpm,0:05:23 mins/km,2022-10-23 08:56:18+08:00,81,2022-10-23
activity_12515891759.tcx,414.0,1.42 km,127 bpm,0:04:52 mins/km,2023-10-29 12:16:22+00:00,8,2023-10-29
activity_10022165549.tcx,2776.0,9.18 km,150 bpm,0:05:02 mins/km,2022-11-23 17:47:36+13:00,48,2022-11-23
